"prolific_pid","treatment_store_exported","product_id","NAME","soldBy","quantity","price","swapOffered","swappedFor","addedFrom"
"5ccc60abe787e000167f8143","group-1","1008943","Nature's Promise Organic Grass-Fed Ground Beef 85/15","unit",1,8.99,,,
"5ccc60abe787e000167f8143","group-1","1011595","Real Good Bacon Wrapped Broccoli & Cheddar Stuffed Chicken","unit",1,5.99,,,
"5ccc60abe787e000167f8143","group-1","929353","Fairlife Fat Free Ultra-Filtered Milk","unit",1,4.49,,,
"5ccc60abe787e000167f8143","group-1","929353","Fairlife Fat Free Ultra-Filtered Milk","unit",1,4.49,,,
"5ccc60abe787e000167f8143","group-1","929353","Fairlife Fat Free Ultra-Filtered Milk","unit",1,4.49,,,
"5ccc60abe787e000167f8143","group-1","967767","Hannaford Plain Nonfat Greek Yogurt","unit",1,3.63,,,
"5ccc60abe787e000167f8143","group-1","967767","Hannaford Plain Nonfat Greek Yogurt","unit",1,3.63,,,
"5ccc60abe787e000167f8143","group-1","967766","Hannaford Vanilla Nonfat Greek Yogurt","unit",1,3.63,,,
"5ccc60abe787e000167f8143","group-1","967766","Hannaford Vanilla Nonfat Greek Yogurt","unit",1,3.63,,,
"5ccc60abe787e000167f8143","group-1","967767","Hannaford Plain Nonfat Greek Yogurt","unit",1,3.63,,,
"5ccc60abe787e000167f8143","group-1","926472","Hannaford Purified Drinking Water","unit",1,2.99,,,
"67e268cbf13dcd115337894c","group-1","1004084","Powerade Zero Grape Sports Drink","unit",1,1.49,,,
"67e268cbf13dcd115337894c","group-1","1004084","Powerade Zero Grape Sports Drink","unit",1,1.49,,,
"67e268cbf13dcd115337894c","group-1","940074","Hannaford Chicken Broth","unit",1,1.43,,,
"67e268cbf13dcd115337894c","group-1","1013002","Nerds Candy Gummy Clusters","unit",1,4.19,,,
"67e268cbf13dcd115337894c","group-1","946307","P.F. Chang's Home Menu Chicken Fried Rice","unit",1,8.15,,,
"67e268cbf13dcd115337894c","group-1","981907","Nature's Promise 85% Lean Ground Beef","unit",1,6.99,,,
"67e268cbf13dcd115337894c","group-1","967767","Hannaford Plain Nonfat Greek Yogurt","unit",1,3.63,,,
"67e268cbf13dcd115337894c","group-1","741728","Campbell's Tomato Soup","unit",1,1.25,,,
"67861c89f7f5f84f90fcd830","group-1","1004084","Powerade Zero Grape Sports Drink","unit",1,1.49,,,
"67861c89f7f5f84f90fcd830","group-1","826330","Celsius Sparkling Orange Soda","unit",1,2.39,,,
"67861c89f7f5f84f90fcd830","group-1","803116","Arizona Arnold Palmer Light Half & Half Iced Tea Lemonade","unit",1,4.39,,,
"67861c89f7f5f84f90fcd830","group-1","725911","Hannaford Chocolate Syrup","unit",1,2.18,,,
"67861c89f7f5f84f90fcd830","group-1","1025060","Pure Leaf Low Sugar Subtly Sweet Tea","unit",1,7.79,,,
"67861c89f7f5f84f90fcd830","group-1","1005772","Kitu Super Coffee Mocha","unit",1,3.09,,,
"67861c89f7f5f84f90fcd830","group-1","969260","Hebrew National Beef Franks","unit",1,5.99,,,
"67861c89f7f5f84f90fcd830","group-1","729418","Hannaford Lower Sodium Bacon","unit",1,4.99,,,
"67861c89f7f5f84f90fcd830","group-1","696572","Pepperidge Farm Goldfish Cheddar Crackers Bag","unit",1,2.99,,,
"67861c89f7f5f84f90fcd830","group-1","1000158","Lay's Party Size Classic Potato Chips","unit",1,4.49,,,
"67f1e1642524e8b1d81143e7","group-1","1004084","Powerade Zero Grape Sports Drink","unit",1,1.49,,,
"67f1e1642524e8b1d81143e7","group-1","1022642","Gatorade Zero Grape","unit",1,1.99,,,
"67f1e1642524e8b1d81143e7","group-1","1037490","Nabisco Oreo","unit",1,4.69,,,
"67f1e1642524e8b1d81143e7","group-1","887133","Nabisco BelVita Blueberry Breakfast Biscuit","unit",1,4.09,,,
"67f1e1642524e8b1d81143e7","group-1","895466","Nabisco BelVita Cinnamon Brown Sugar Breakfast Biscuit","unit",1,4.09,,,
"67f1e1642524e8b1d81143e7","group-1","927290","Tate's Bake Shop Chocolate Chip Cookies","unit",1,5.49,,,
"67f1e1642524e8b1d81143e7","group-1","957226","Tiny Tate's Chocolate Chip Cookies","unit",1,0.99,,,
"67f1e1642524e8b1d81143e7","group-1","897819","Mini Oreo Go Cups","unit",1,1.59,,,
"67f1e1642524e8b1d81143e7","group-1","1036047","Nutella B-Ready","unit",1,4.29,,,
"67f1e1642524e8b1d81143e7","group-1","953318","Nabisco BelVita Toasted Coconut Breakfast Biscuits","unit",1,4.09,,,
"67f1e1642524e8b1d81143e7","group-1","1037499","Oreo Gluten Free Double Stuff Cookies","unit",1,4.69,,,
"67f1e1642524e8b1d81143e7","group-1","1037489","Nabisco Oreo Double Stuf Cookies","unit",1,3.99,,,
"67f1e1642524e8b1d81143e7","group-1","724174","Lipton Extra Noodle Soup Mix","unit",1,2.19,,,
"67f1e1642524e8b1d81143e7","group-1","724182","Lipton Vegetable Soup & Dip Mix","unit",1,1.89,,,
"67f1e1642524e8b1d81143e7","group-1","739736","Knorr Vegetable Soup Mix","unit",1,1.59,,,
"67f1e1642524e8b1d81143e7","group-1","821221","Snow's Clam Chowder","unit",1,3.09,,,
"67f1e1642524e8b1d81143e7","group-1","1017421","Bar Harbor New England Lobster Bisque","unit",1,2.99,,,
"67f1e1642524e8b1d81143e7","group-1","749778","Bar Harbor New England Clam Chowder","unit",1,2.99,,,
"66bd41adcad01bc947d3fcba","group-1","925470","Hannaford Chicken Wing Sections","unit",1,9.99,,,
"66bd41adcad01bc947d3fcba","group-1","932363","Hannaford Whole Milk","unit",1,2.99,,,
"66bd41adcad01bc947d3fcba","group-1","1014335","Doritos Nacho Cheese","unit",1,3.99,,,
"66bd41adcad01bc947d3fcba","group-1","1015526","Wheat Thins Original","unit",1,2.99,,,
"66bd41adcad01bc947d3fcba","group-1","963169","Bear Yo Yo's Strawberry Apple Pear Fruit Rolls","unit",1,4.09,,,
"66bd41adcad01bc947d3fcba","group-1","715056","Hershey's Chocolate Syrup","unit",1,6.29,,,
"66bd41adcad01bc947d3fcba","group-1","724173","Lipton Tea Bags","unit",1,4.79,,,
"66bd41adcad01bc947d3fcba","group-1","740639","Coca-Cola Classic","unit",1,2.29,,,
"66bd41adcad01bc947d3fcba","group-1","867498","Hannaford Tonic Water","unit",1,0.89,,,
"66bd41adcad01bc947d3fcba","group-1","696118","Stouffer's Mac & Cheese","unit",1,3.99,,,
"66bd41adcad01bc947d3fcba","group-1","969296","Marie Callender's Chicken Pot Pie","unit",1,3.99,,,
"66bd41adcad01bc947d3fcba","group-1","969305","Marie Callender's Tender Ginger Beef & Broccoli Bowl","unit",1,3.59,,,
"66bd41adcad01bc947d3fcba","group-1","1021366","Circus Peanuts Soft Candy","unit",1,1.09,,,
"673f361cb1d555345330ff1b","group-1","712774","Ocean Spray Diet Cranberry Juice","unit",1,4.89,,,
"673f361cb1d555345330ff1b","group-1","926472","Hannaford Purified Drinking Water","unit",1,2.99,,,
"673f361cb1d555345330ff1b","group-1","933156","Hannaford Italian Meatballs","unit",1,8.99,,,
"673f361cb1d555345330ff1b","group-1","876456","Tower Isles Hot Jamaican Style Beef Patties","unit",1,5.99,,,
"673f361cb1d555345330ff1b","group-1","931621","Hannaford Low Moisture Part Skim Mozzarella Shredded Cheese","unit",1,2.22,,,
"673f361cb1d555345330ff1b","group-1","769745","Cabot Hunter's Seriously Sharp Cheddar Cheese Bar","unit",1,2.89,,,
"673f361cb1d555345330ff1b","group-1","932438","Hannaford Mozzarella String Cheese","unit",1,3.34,,,
"673f361cb1d555345330ff1b","group-1","933212","Hannaford Lowfat Vanilla Yogurt","unit",1,2.36,,,
"673f361cb1d555345330ff1b","group-1","1010185","Hannaford Lowfat Yogurt Blueberry","unit",1,0.58,,,
"673f361cb1d555345330ff1b","group-1","932362","Hannaford 2% Reduced Fat Milk","unit",1,2.99,,,
"673f361cb1d555345330ff1b","group-1","879994","Hannaford Heavy Whipping Cream","unit",1,2.69,,,
"673f361cb1d555345330ff1b","group-1","726171","Hannaford Sliced Peaches in 100% Juice","unit",1,1.49,,,
